datetime,hour,day_of_week,day_type,is_weekend,is_holiday,temperature_c,humidity_pct,industrial_load_mw,commercial_load_mw,residential_load_mw,total_load_mw
2025-04-04 07:00:00,7,Friday,Weekday,0,0,27.0,57.0,219.6,147.7,215.8,583.1
2025-04-04 08:00:00,8,Friday,Weekday,0,0,30.4,62.0,244.3,181.0,293.5,718.8
2025-04-04 09:00:00,9,Friday,Weekday,0,0,31.8,63.0,297.3,190.0,306.6,793.9
2025-04-04 10:00:00,10,Friday,Weekday,0,0,33.7,46.0,277.6,179.8,343.5,800.9
2025-04-04 11:00:00,11,Friday,Weekday,0,0,30.5,60.0,268.4,214.2,299.8,782.4
2025-04-04 12:00:00,12,Friday,Weekday,0,0,29.6,57.0,276.3,220.2,324.8,821.3
2025-04-04 13:00:00,13,Friday,Weekday,0,0,29.3,59.0,251.0,181.0,360.4,792.4
2025-04-04 14:00:00,14,Friday,Weekday,0,0,30.4,60.0,244.2,216.8,352.1,813.1
2025-04-04 15:00:00,15,Friday,Weekday,0,0,28.3,59.0,242.7,195.8,321.7,760.2
2025-04-04 16:00:00,16,Friday,Weekday,0,0,25.7,61.0,255.8,183.6,311.2,750.6
2025-04-04 17:00:00,17,Friday,Weekday,0,0,26.0,64.0,263.5,187.6,346.4,797.5
2025-04-04 18:00:00,18,Friday,Weekday,0,0,24.1,61.0,293.4,237.3,342.9,873.6
2025-04-04 19:00:00,19,Friday,Weekday,0,0,24.4,60.0,353.2,244.6,335.6,933.4
2025-04-04 20:00:00,20,Friday,Weekday,0,0,21.1,73.0,296.2,228.3,378.4,902.9
2025-04-04 21:00:00,21,Friday,Weekday,0,0,21.2,64.0,273.9,209.1,331.8,814.8
2025-04-04 22:00:00,22,Friday,Weekday,0,0,20.9,73.0,207.1,150.3,309.3,666.7
2025-04-04 23:00:00,23,Friday,Weekday,0,0,19.5,74.0,164.8,134.8,242.9,542.5
2025-04-05 00:00:00,0,Saturday,Weekend,1,0,22.6,59.0,126.1,80.7,141.4,348.2
2025-04-05 01:00:00,1,Saturday,Weekend,1,0,23.4,64.0,110.9,74.6,135.3,320.8
2025-04-05 02:00:00,2,Saturday,Weekend,1,0,24.1,72.0,124.2,89.4,130.6,344.2
2025-04-05 03:00:00,3,Saturday,Weekend,1,0,24.9,60.0,102.3,90.1,135.5,327.9
2025-04-05 04:00:00,4,Saturday,Weekend,1,0,24.4,63.0,112.9,79.8,133.9,326.6
2025-04-05 05:00:00,5,Saturday,Weekend,1,0,27.2,65.0,114.4,83.0,159.8,357.2
2025-04-05 06:00:00,6,Saturday,Weekend,1,0,28.6,65.0,134.5,109.4,178.8,422.7
2025-04-05 07:00:00,7,Saturday,Weekend,1,0,28.9,59.0,159.1,143.9,225.6,528.6
2025-04-05 08:00:00,8,Saturday,Weekend,1,0,30.7,55.0,197.2,168.3,269.9,635.4
2025-04-05 09:00:00,9,Saturday,Weekend,1,0,32.0,64.0,218.1,182.7,270.7,671.5
2025-04-05 10:00:00,10,Saturday,Weekend,1,0,34.4,62.0,223.6,182.3,316.9,722.8
2025-04-05 11:00:00,11,Saturday,Weekend,1,0,31.7,62.0,265.7,185.9,249.8,701.4
2025-04-05 12:00:00,12,Saturday,Weekend,1,0,31.3,58.0,226.0,159.0,311.1,696.1
2025-04-05 13:00:00,13,Saturday,Weekend,1,0,30.0,55.0,215.4,167.2,311.3,693.9
2025-04-05 14:00:00,14,Saturday,Weekend,1,0,26.2,59.0,196.7,151.5,274.5,622.7
2025-04-05 15:00:00,15,Saturday,Weekend,1,0,27.9,64.0,228.4,165.0,264.9,658.3
2025-04-05 16:00:00,16,Saturday,Weekend,1,0,26.7,65.0,193.7,175.1,266.1,634.9
2025-04-05 17:00:00,17,Saturday,Weekend,1,0,29.0,67.0,264.2,195.1,256.7,716.0
2025-04-05 18:00:00,18,Saturday,Weekend,1,0,23.8,70.0,283.3,171.4,297.0,751.7
2025-04-05 19:00:00,19,Saturday,Weekend,1,0,23.6,59.0,253.8,182.9,357.2,793.9
2025-04-05 20:00:00,20,Saturday,Weekend,1,0,22.3,73.0,251.8,180.9,316.6,749.3
2025-04-05 21:00:00,21,Saturday,Weekend,1,0,20.1,66.0,192.0,151.1,293.1,636.2
2025-04-05 22:00:00,22,Saturday,Weekend,1,0,23.4,65.0,197.4,144.4,220.2,562.0
2025-04-05 23:00:00,23,Saturday,Weekend,1,0,23.0,69.0,144.4,118.9,170.3,433.6
2025-04-06 00:00:00,0,Sunday,Weekend,1,0,23.5,77.0,120.6,104.1,150.2,374.9
2025-04-06 01:00:00,1,Sunday,Weekend,1,0,21.8,84.0,108.3,88.7,145.0,342.0
2025-04-06 02:00:00,2,Sunday,Weekend,1,0,26.3,66.0,118.5,90.9,127.0,336.4
2025-04-06 03:00:00,3,Sunday,Weekend,1,0,23.3,66.0,101.2,76.4,126.0,303.6
2025-04-06 04:00:00,4,Sunday,Weekend,1,0,27.6,65.0,98.9,73.1,142.5,314.5
2025-04-06 05:00:00,5,Sunday,Weekend,1,0,31.3,62.0,135.6,96.0,150.3,381.9
2025-04-06 06:00:00,6,Sunday,Weekend,1,0,27.7,60.0,146.9,107.8,170.8,425.5
2025-04-06 07:00:00,7,Sunday,Weekend,1,0,29.4,69.0,199.9,143.4,198.8,542.1
2025-04-06 08:00:00,8,Sunday,Weekend,1,0,31.2,59.0,186.9,140.8,276.3,604.0
2025-04-06 09:00:00,9,Sunday,Weekend,1,0,30.8,61.0,242.1,161.5,263.5,667.1
2025-04-06 10:00:00,10,Sunday,Weekend,1,0,29.4,63.0,215.5,147.3,246.1,608.9
2025-04-06 11:00:00,11,Sunday,Weekend,1,0,31.7,59.0,207.5,186.3,277.3,671.1
2025-04-06 12:00:00,12,Sunday,Weekend,1,0,29.5,64.0,236.8,164.2,264.9,665.9
2025-04-06 13:00:00,13,Sunday,Weekend,1,0,31.0,55.0,224.1,177.3,267.0,668.4
2025-04-06 14:00:00,14,Sunday,Weekend,1,0,27.9,59.0,232.8,164.3,222.6,619.7
2025-04-06 15:00:00,15,Sunday,Weekend,1,0,30.4,53.0,210.5,159.5,306.0,676.0
2025-04-06 16:00:00,16,Sunday,Weekend,1,0,25.6,66.0,229.4,166.0,257.5,652.9
2025-04-06 17:00:00,17,Sunday,Weekend,1,0,25.0,69.0,233.4,193.2,279.5,706.1
2025-04-06 18:00:00,18,Sunday,Weekend,1,0,25.5,67.0,293.6,193.8,292.3,779.7
2025-04-06 19:00:00,19,Sunday,Weekend,1,0,21.4,78.0,257.6,218.3,313.2,789.1
2025-04-06 20:00:00,20,Sunday,Weekend,1,0,22.8,68.0,287.3,177.5,297.4,762.2
2025-04-06 21:00:00,21,Sunday,Weekend,1,0,23.9,70.0,247.1,149.1,267.9,664.1
2025-04-06 22:00:00,22,Sunday,Weekend,1,0,19.4,66.0,171.6,145.9,216.0,533.5
2025-04-06 23:00:00,23,Sunday,Weekend,1,0,22.2,66.0,168.8,125.5,169.1,463.4
2025-04-07 00:00:00,0,Monday,Weekday,0,0,22.9,71.0,156.3,115.1,140.4,411.8
2025-04-07 01:00:00,1,Monday,Weekday,0,0,24.4,70.0,123.5,100.6,161.5,385.6
2025-04-07 02:00:00,2,Monday,Weekday,0,0,22.5,67.0,128.7,106.1,149.4,384.2
2025-04-07 03:00:00,3,Monday,Weekday,0,0,23.5,66.0,123.3,97.3,140.4,361.0
2025-04-07 04:00:00,4,Monday,Weekday,0,0,27.6,54.0,121.3,101.5,152.2,375.0
2025-04-07 05:00:00,5,Monday,Weekday,0,0,28.6,59.0,128.3,108.2,189.4,425.9
2025-04-07 06:00:00,6,Monday,Weekday,0,0,29.7,64.0,161.7,123.7,223.8,509.2
2025-04-07 07:00:00,7,Monday,Weekday,0,0,30.9,61.0,193.9,166.0,241.3,601.2
2025-04-07 08:00:00,8,Monday,Weekday,0,0,30.2,61.0,234.9,172.2,293.1,700.2
2025-04-07 09:00:00,9,Monday,Weekday,0,0,32.0,57.0,247.8,199.3,342.8,789.9
2025-04-07 10:00:00,10,Monday,Weekday,0,0,32.3,56.0,297.0,198.2,307.9,803.1
2025-04-07 11:00:00,11,Monday,Weekday,0,0,30.6,55.0,296.2,211.0,323.9,831.1
2025-04-07 12:00:00,12,Monday,Weekday,0,0,34.0,58.0,268.7,217.4,389.7,875.8
2025-04-07 13:00:00,13,Monday,Weekday,0,0,31.1,60.0,292.3,185.1,353.0,830.4
2025-04-07 14:00:00,14,Monday,Weekday,0,0,27.6,64.0,259.9,201.3,276.5,737.7
2025-04-07 15:00:00,15,Monday,Weekday,0,0,29.2,57.0,294.0,192.6,294.2,780.8
2025-04-07 16:00:00,16,Monday,Weekday,0,0,25.4,54.0,231.7,197.0,343.0,771.7
2025-04-07 17:00:00,17,Monday,Weekday,0,0,26.8,68.0,260.0,185.6,367.2,812.8
2025-04-07 18:00:00,18,Monday,Weekday,0,0,26.1,61.0,338.9,199.4,367.4,905.7
2025-04-07 19:00:00,19,Monday,Weekday,0,0,22.1,64.0,352.0,220.6,367.1,939.7
2025-04-07 20:00:00,20,Monday,Weekday,0,0,24.0,70.0,318.9,233.9,338.9,891.7
2025-04-07 21:00:00,21,Monday,Weekday,0,0,22.7,66.0,277.1,173.3,316.5,766.9
2025-04-07 22:00:00,22,Monday,Weekday,0,0,23.2,72.0,204.7,182.9,278.5,666.1
2025-04-07 23:00:00,23,Monday,Weekday,0,0,24.9,68.0,174.4,119.1,217.8,511.3
2025-04-08 00:00:00,0,Tuesday,Weekday,0,0,22.2,72.0,135.9,99.1,191.7,426.7
2025-04-08 01:00:00,1,Tuesday,Weekday,0,0,22.3,61.0,125.0,91.8,180.6,397.4
2025-04-08 02:00:00,2,Tuesday,Weekday,0,0,23.1,73.0,140.1,84.8,159.0,383.9
2025-04-08 03:00:00,3,Tuesday,Weekday,0,0,24.4,67.0,121.7,104.3,165.6,391.6
2025-04-08 04:00:00,4,Tuesday,Weekday,0,0,26.8,61.0,122.9,99.2,142.0,364.1
2025-04-08 05:00:00,5,Tuesday,Weekday,0,0,28.8,61.0,171.6,117.5,168.4,457.5
2025-04-08 06:00:00,6,Tuesday,Weekday,0,0,29.9,50.0,148.9,109.4,214.6,472.9
2025-04-08 07:00:00,7,Tuesday,Weekday,0,0,31.7,59.0,233.2,146.2,237.2,616.6
2025-04-08 08:00:00,8,Tuesday,Weekday,0,0,31.3,52.0,276.8,181.2,271.2,729.2
2025-04-08 09:00:00,9,Tuesday,Weekday,0,0,34.0,47.0,277.5,223.3,304.7,805.5
2025-04-08 10:00:00,10,Tuesday,Weekday,0,0,31.6,49.0,246.0,184.2,354.2,784.4
2025-04-08 11:00:00,11,Tuesday,Weekday,0,0,35.9,57.0,278.7,226.1,352.0,856.8
2025-04-08 12:00:00,12,Tuesday,Weekday,0,0,32.3,53.0,281.2,207.4,353.4,842.0
2025-04-08 13:00:00,13,Tuesday,Weekday,0,0,29.3,68.0,254.8,186.6,343.1,784.5
2025-04-08 14:00:00,14,Tuesday,Weekday,0,0,27.9,59.0,254.1,194.9,339.1,788.1
2025-04-08 15:00:00,15,Tuesday,Weekday,0,0,29.0,52.0,294.7,175.0,310.5,780.2
2025-04-08 16:00:00,16,Tuesday,Weekday,0,0,26.7,57.0,246.3,211.3,331.2,788.8
2025-04-08 17:00:00,17,Tuesday,Weekday,0,0,26.8,69.0,289.0,189.0,327.7,805.7
2025-04-08 18:00:00,18,Tuesday,Weekday,0,0,25.2,64.0,270.5,237.6,393.6,901.7
2025-04-08 19:00:00,19,Tuesday,Weekday,0,0,23.4,64.0,319.1,205.7,392.9,917.7
2025-04-08 20:00:00,20,Tuesday,Weekday,0,0,21.4,70.0,322.9,239.9,302.2,865.0
2025-04-08 21:00:00,21,Tuesday,Weekday,0,0,19.9,74.0,255.1,182.9,351.6,789.6
2025-04-08 22:00:00,22,Tuesday,Weekday,0,0,21.4,75.0,202.6,175.7,265.2,643.5
2025-04-08 23:00:00,23,Tuesday,Weekday,0,0,23.5,74.0,188.4,143.7,202.9,535.0
2025-04-09 00:00:00,0,Wednesday,Weekday,0,0,23.1,65.0,144.2,112.3,147.4,403.9
2025-04-09 01:00:00,1,Wednesday,Weekday,0,0,21.7,62.0,154.2,108.0,172.0,434.2
2025-04-09 02:00:00,2,Wednesday,Weekday,0,0,24.8,63.0,121.1,98.1,152.9,372.1
2025-04-09 03:00:00,3,Wednesday,Weekday,0,0,26.4,65.0,122.4,92.6,167.2,382.2
2025-04-09 04:00:00,4,Wednesday,Weekday,0,0,25.8,59.0,149.6,91.8,156.1,397.5
2025-04-09 05:00:00,5,Wednesday,Weekday,0,0,28.6,56.0,153.4,101.1,155.7,410.2
2025-04-09 06:00:00,6,Wednesday,Weekday,0,0,29.7,61.0,174.7,119.3,225.0,519.0
2025-04-09 07:00:00,7,Wednesday,Weekday,0,0,28.9,60.0,210.3,159.5,202.2,572.0
2025-04-09 08:00:00,8,Wednesday,Weekday,0,0,32.0,57.0,254.7,171.0,331.8,757.5
2025-04-09 09:00:00,9,Wednesday,Weekday,0,0,32.8,52.0,260.9,199.5,320.8,781.2
2025-04-09 10:00:00,10,Wednesday,Weekday,0,0,33.7,53.0,250.3,206.3,344.4,801.0
2025-04-09 11:00:00,11,Wednesday,Weekday,0,0,33.5,50.0,275.3,207.9,340.8,824.0
2025-04-09 12:00:00,12,Wednesday,Weekday,0,0,29.4,64.0,279.5,211.6,323.7,814.8
2025-04-09 13:00:00,13,Wednesday,Weekday,0,0,29.3,65.0,235.0,176.7,366.8,778.5
2025-04-09 14:00:00,14,Wednesday,Weekday,0,0,30.4,49.0,261.3,197.2,320.2,778.7
2025-04-09 15:00:00,15,Wednesday,Weekday,0,0,29.2,55.0,276.9,181.2,305.8,763.9
2025-04-09 16:00:00,16,Wednesday,Weekday,0,0,27.9,54.0,266.6,207.9,277.8,752.3
2025-04-09 17:00:00,17,Wednesday,Weekday,0,0,31.6,54.0,315.6,239.0,344.9,899.5
2025-04-09 18:00:00,18,Wednesday,Weekday,0,0,25.5,64.0,333.0,248.7,311.6,893.3
2025-04-09 19:00:00,19,Wednesday,Weekday,0,0,25.3,57.0,282.9,208.6,447.0,938.5
2025-04-09 20:00:00,20,Wednesday,Weekday,0,0,24.3,61.0,305.7,210.4,371.2,887.3
2025-04-09 21:00:00,21,Wednesday,Weekday,0,0,23.3,62.0,278.0,177.5,310.3,765.8
2025-04-09 22:00:00,22,Wednesday,Weekday,0,0,21.7,70.0,224.4,144.2,284.9,653.5
2025-04-09 23:00:00,23,Wednesday,Weekday,0,0,23.5,67.0,175.2,126.1,236.4,537.7
2025-04-10 00:00:00,0,Thursday,Weekday,0,0,21.7,65.0,130.6,109.6,180.0,420.2
2025-04-10 01:00:00,1,Thursday,Weekday,0,0,23.3,68.0,157.7,99.4,168.0,425.1
2025-04-10 02:00:00,2,Thursday,Weekday,0,0,24.0,63.0,137.4,102.0,167.6,407.0
2025-04-10 03:00:00,3,Thursday,Weekday,0,0,26.0,62.0,146.3,108.0,140.9,395.2
2025-04-10 04:00:00,4,Thursday,Weekday,0,0,30.7,67.0,141.5,106.7,159.6,407.8
2025-04-10 05:00:00,5,Thursday,Weekday,0,0,25.7,71.0,139.5,96.1,158.6,394.2
2025-04-10 06:00:00,6,Thursday,Weekday,0,0,30.8,52.0,184.5,122.7,199.1,506.3
2025-04-10 07:00:00,7,Thursday,Weekday,0,0,28.4,65.0,208.8,146.4,236.8,592.0
2025-04-10 08:00:00,8,Thursday,Weekday,0,0,30.9,62.0,241.7,168.0,318.7,728.4
2025-04-10 09:00:00,9,Thursday,Weekday,0,0,33.7,49.0,256.9,194.3,301.9,753.1
2025-04-10 10:00:00,10,Thursday,Weekday,0,0,32.4,60.0,290.1,192.6,313.7,796.4
2025-04-10 11:00:00,11,Thursday,Weekday,0,0,30.5,66.0,262.8,216.0,317.8,796.6
2025-04-10 12:00:00,12,Thursday,Weekday,0,0,30.5,53.0,267.8,214.6,326.4,808.8
2025-04-10 13:00:00,13,Thursday,Weekday,0,0,31.8,52.0,259.3,216.3,367.1,842.7
2025-04-10 14:00:00,14,Thursday,Weekday,0,0,28.7,66.0,291.0,188.6,300.2,779.8
2025-04-10 15:00:00,15,Thursday,Weekday,0,0,28.9,62.0,242.2,183.3,362.7,788.2
2025-04-10 16:00:00,16,Thursday,Weekday,0,0,27.4,65.0,270.9,205.3,293.8,770.0
2025-04-10 17:00:00,17,Thursday,Weekday,0,0,25.0,67.0,280.0,209.5,351.3,840.8
2025-04-10 18:00:00,18,Thursday,Weekday,0,0,28.0,63.0,310.3,217.9,405.1,933.3
2025-04-10 19:00:00,19,Thursday,Weekday,0,0,24.7,59.0,335.8,219.5,392.2,947.5
2025-04-10 20:00:00,20,Thursday,Weekday,0,0,19.9,76.0,263.9,198.7,401.7,864.3
2025-04-10 21:00:00,21,Thursday,Weekday,0,0,22.8,73.0,270.8,207.8,300.8,779.4
2025-04-10 22:00:00,22,Thursday,Weekday,0,0,21.3,68.0,234.3,151.4,262.1,647.8
2025-04-10 23:00:00,23,Thursday,Weekday,0,0,23.8,66.0,195.1,134.1,203.6,532.8
2025-04-11 00:00:00,0,Friday,Weekday,0,0,21.8,61.0,136.9,107.8,191.7,436.4
2025-04-11 01:00:00,1,Friday,Weekday,0,0,23.6,69.0,144.6,99.1,145.2,388.9
2025-04-11 02:00:00,2,Friday,Weekday,0,0,25.6,67.0,137.6,106.4,146.3,390.3
2025-04-11 03:00:00,3,Friday,Weekday,0,0,27.4,62.0,127.0,93.2,122.5,342.7
2025-04-11 04:00:00,4,Friday,Weekday,0,0,25.6,70.0,138.9,101.3,169.8,410.0
2025-04-11 05:00:00,5,Friday,Weekday,0,0,28.2,59.0,139.9,90.0,177.4,407.3
2025-04-11 06:00:00,6,Friday,Weekday,0,0,29.2,63.0,186.6,122.7,190.2,499.5
2025-04-11 07:00:00,7,Friday,Weekday,0,0,29.9,54.0,223.7,154.2,223.4,601.3
2025-04-11 08:00:00,8,Friday,Weekday,0,0,34.4,54.0,262.5,198.1,321.0,781.6
2025-04-11 09:00:00,9,Friday,Weekday,0,0,32.8,55.0,235.3,189.3,306.1,730.7
2025-04-11 10:00:00,10,Friday,Weekday,0,0,30.5,60.0,256.5,177.4,340.0,773.9
2025-04-11 11:00:00,11,Friday,Weekday,0,0,33.6,53.0,274.6,214.7,340.2,829.5
2025-04-11 12:00:00,12,Friday,Weekday,0,0,34.9,52.0,277.3,198.3,383.2,858.8
2025-04-11 13:00:00,13,Friday,Weekday,0,0,32.5,60.0,276.3,227.7,355.3,859.3
2025-04-11 14:00:00,14,Friday,Weekday,0,0,27.6,60.0,276.0,179.9,292.4,748.3
2025-04-11 15:00:00,15,Friday,Weekday,0,0,28.0,53.0,234.7,201.7,331.7,768.1
2025-04-11 16:00:00,16,Friday,Weekday,0,0,29.3,69.0,282.1,177.5,336.7,796.3
2025-04-11 17:00:00,17,Friday,Weekday,0,0,25.1,72.0,265.8,207.1,374.1,847.0
2025-04-11 18:00:00,18,Friday,Weekday,0,0,25.6,58.0,292.3,234.1,365.9,892.3
2025-04-11 19:00:00,19,Friday,Weekday,0,0,25.1,68.0,277.8,212.8,420.5,911.1
